mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	crescendo_line	diminuendo_line	decrescendo_hairpin	pedal
35	33	97	100	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	224									20					
35	33	99	102	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	225									20					
35	33	97	100	0.0		0	0	Spanner	3/4	2	1	0																		
35	33	98	101	0.0		1/4	1/4	Spanner	3/4	2	1	0																		32
35	33	98	101	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	226														32
35	33	99	102	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	227														32
36	34	100	103	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	228									20					
36	34	201/2	207/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	229									20					
36	34	101	104	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	230									20					
36	34	203/2	209/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	231									20					
36	34	102	105	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	232									20					
36	34	205/2	211/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	233														
36	34	100	103	0.0		0	0	Spanner	3/4	2	1	0																		
36	34	101	104	0.0		1/4	1/4	Spanner	3/4	2	1	0																		33
36	34	101	104	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	234														33
36	34	102	105	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	235														33
37	35	103	106	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	236									21					
37	35	105	108	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	237									21					
37	35	103	106	0.0		0	0	Spanner	3/4	2	1	0																		
37	35	104	107	0.0		1/4	1/4	Spanner	3/4	2	1	0																		34
37	35	104	107	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	238														34
37	35	105	108	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	239														34
38	36	106	109	0.0		0	0	Spanner	3/4	1	1	0													21		0			
38	36	106	109	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	240									21		0			
38	36	213/2	219/2	0.0		1/8	1/8	Spanner	3/4	1	1	0													21					
38	36	213/2	219/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	241									21					
38	36	107	110	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	242									21					
38	36	215/2	221/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	243									21					
38	36	108	111	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	244									21					
38	36	217/2	223/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	245														
38	36	106	109	0.0		0	0	Spanner	3/4	2	1	0																		
38	36	106	109	0.0		0	0	Spanner	3/4	2	1	0																		35
38	36	106	109	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	246														35
38	36	107	110	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	247														35
38	36	108	111	0.0		1/2	1/2	Spanner	3/4	2	1	0																		
38	36	108	111	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	248														
39	37	109	112	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	249									22					
39	37	111	114	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	250									22					
39	37	109	112	0.0		0	0	Spanner	3/4	2	1	0																		36
39	37	109	112	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	251														36
39	37	110	113	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	252														36
39	37	111	114	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	253														36
40	38	112	115	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	254									22					
40	38	225/2	231/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	255									22					
40	38	113	116	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	256									22					
40	38	227/2	233/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	257									22					
40	38	114	117	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	258									22					
40	38	229/2	235/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	259														
40	38	112	115	0.0		0	0	Spanner	3/4	2	1	0																		
40	38	112	115	0.0		0	0	Spanner	3/4	2	1	0																		37
40	38	113	116	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	260														37
40	38	114	117	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	261														37
41	39	115	118	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	262									23					
41	39	117	120	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	263									23					
41	39	115	118	0.0		0	0	Spanner	3/4	2	1	0																		
41	39	115	118	0.0		0	0	Spanner	3/4	2	1	0																		38
41	39	116	119	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	264														38
41	39	117	120	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	265														38
42	40	118	121	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	266									23					
42	40	237/2	243/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	267									23					
42	40	119	122	0.0		1/4	1/4	StaffText	3/4	1	1	0							rit.						23					
42	40	119	122	0.0		1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	268									23					
42	40	119	122	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	269									23					
42	40	239/2	245/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	270									23					
42	40	120	123	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	271									23					
42	40	241/2	247/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	272														
42	40	120	123	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	273														
42	40	118	121	0.0		0	0	Spanner	3/4	2	1	0																		
42	40	118	121	0.0		0	0	Spanner	3/4	2	1	0																		39
42	40	118	121	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	274														39
42	40	119	122	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	275														39
42	40	120	123	0.0		1/2	1/2	Spanner	3/4	2	1	0																		
42	40	120	123	0.0		1/2	1/2	Spanner	3/4	2	1	0																		40
42	40	120	123	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	276														40
43	41	121	124	0.0		0	0	StaffText	3/4	1	1	0							a tempo											
43	41	121	124	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	277									24					
43	41	123	126	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	278									24					
43	41	122	125	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	279														
43	41	123	126	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	280														
43	41	121	124	0.0		0	0	Spanner	3/4	2	1	0																		
43	41	121	124	0.0		0	0	Spanner	3/4	2	1	0																		41
43	41	121	124	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	281														41
43	41	122	125	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	282														41
43	41	123	126	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	283														41
44	42	124	127	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	284									24					
44	42	249/2	255/2	0.0		1/8	1/8	Spanner	3/4	1	1	0													24	1				
44	42	249/2	255/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	285									24	1				
44	42	125	128	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	286									24	1				
44	42	251/2	257/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	287									24	1				
44	42	126	129	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	288									24	1				
44	42	253/2	259/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	289										1				
44	42	125	128	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	290										1				
44	42	126	129	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	291										1				
44	42	124	127	0.0		0	0	Spanner	3/4	2	1	0																		
44	42	124	127	0.0		0	0	Spanner	3/4	2	1	0																		42
44	42	124	127	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	292														42
44	42	125	128	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	293														42
44	42	126	129	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	294														42
45	43	127	130	0.0		0	0	Spanner	3/4	1	1	0																		
45	43	127	130	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	295									25					
45	43	129	132	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	296									25					
45	43	128	131	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	297														
45	43	129	132	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	298														
45	43	127	130	0.0		0	0	Spanner	3/4	2	1	0																		
45	43	127	130	0.0		0	0	Spanner	3/4	2	1	0																		43
45	43	128	131	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	299														43
45	43	129	132	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	300														43
46	44	130	133	0.0		0	0	Spanner	3/4	1	1	0													25	2				
46	44	130	133	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	301									25	2				
46	44	261/2	267/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	302									25	2				
46	44	131	134	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	303									25	2				
46	44	263/2	269/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	304									25	2				
46	44	132	135	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	305									25	2				
46	44	265/2	271/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	306										2				
46	44	130	133	0.0		0	0	Spanner	3/4	2	1	0																		
46	44	130	133	0.0		0	0	Spanner	3/4	2	1	0																		44
46	44	130	133	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	307														44
46	44	131	134	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	308														44
46	44	132	135	0.0		1/2	1/2	Spanner	3/4	2	1	0																		
47	45	133	136	0.0		0	0	Spanner	3/4	1	1	0																		
47	45	133	136	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	309									26					
47	45	267/2	273/2	0.0		1/8	1/8	Spanner	3/4	1	1	0													26		1			
47	45	267/2	273/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	310									26		1			
47	45	134	137	0.0		1/4	1/4	Spanner	3/4	1	1	0													26					
47	45	134	137	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	311									26					
47	45	269/2	275/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	312									26					
47	45	135	138	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	313									26					
47	45	271/2	277/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	314									26					
47	45	133	136	0.0		0	0	Spanner	3/4	2	1	0																		45
47	45	133	136	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	315														45
47	45	135	138	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	316														45
48	46	136	139	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	317									26					
48	46	273/2	279/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	318									26					
48	46	137	140	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	319									26					
48	46	275/2	281/2	0.0		3/8	3/8	Dynamic	3/4	1	1	0					f								26					
48	46	275/2	281/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	320									26					
48	46	138	141	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	321									26					
48	46	277/2	283/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	322														
48	46	136	139	0.0		0	0	Spanner	3/4	2	1	0																		
48	46	136	139	0.0		0	0	Spanner	3/4	2	1	0																		46
48	46	136	139	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	323														46
48	46	137	140	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	324														46
49	47	139	142	0.0		0	0	Dynamic	3/4	1	1	0					p													
49	47	139	142	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	325									27					
49	47	279/2	285/2	0.0		1/8	1/8	Chord	3/4	1	1	0	acciaccatura	1/8	1	326									27					
49	47	279/2	285/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	327									27					
49	47	140	143	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	328									27					
49	47	281/2	287/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	329									27					
49	47	141	144	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	330									27					
49	47	283/2	289/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	331									27					
49	47	139	142	0.0		0	0	Spanner	3/4	2	1	0																		
49	47	139	142	0.0		0	0	Spanner	3/4	2	1	0																		47
49	47	139	142	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	332														47
49	47	140	143	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	333														47
49	47	141	144	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	334														47
50	48		145	0.5	1	0	0	Chord	3/4	1	1	1/8		1/8	1	335									27					
50	48		291/2	0.5	1	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	336									27					
50	48		146	2.0	1	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	337														
50	48		145	0.0	1	0	0	Spanner	3/4	2	1	0																		
50	48		145	0.0	1	0	0	Spanner	3/4	2	1	0																		48
50	48		145	1.0	1	0	0	Chord	3/4	2	1	1/4		1/4	1	338														48
50	48		146	0.0	1	1/4	1/4	Spanner	3/4	2	1	0																		
50	48		146	0.0	1	1/4	1/4	Spanner	3/4	2	1	0																		49
50	48		146	1.0	1	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	339														49
50	48		147	1.0	1	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	340														49
51	48	142	148	0.5	2	0	0	Chord	3/4	1	1	1/8		1/8	1	341									28					
51	48	285/2	297/2	0.5	2	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	342									28					
51	48	143	149	1.0	2	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	343														
51	48	144	150	1.0	2	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	344		articAccentAbove												
51	48	142	148	0.0	2	0	0	Spanner	3/4	2	1	0																		
51	48	142	148	0.0	2	0	0	Spanner	3/4	2	1	0																		50
51	48	142	148	1.0	2	0	0	Chord	3/4	2	1	1/4		1/4	1	345														50
51	48	143	149	1.0	2	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	346														50
51	48	144	150	0.0	2	1/2	1/2	Spanner	3/4	2	1	0																		
51	48	144	150	0.0	2	1/2	1/2	Spanner	3/4	2	1	0																		51
52	49	145	151	0.0		0	0	Dynamic	3/4	1	1	0					mf													
52	49	145	151	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	347									29					
52	49	293/2	305/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	348									29, 30					
52	49	147	153	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	349		ornamentShortTrill							29, 30					
52	49	295/2	307/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	350									29					
52	49	145	151	0.0		0	0	StaffText	3/4	2	1	0							Ped. come sopra											
52	49	145	151	0.0		0	0	Spanner	3/4	2	1	0																		
52	49	145	151	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	351														
52	49	146	152	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	352														
52	49	147	153	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	353														
53	50	148	154	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	354									29					
53	50	297/2	309/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	355									29					
53	50	149	155	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	356									29					
53	50	150	156	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	357														
53	50	149	155	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	358														
53	50	150	156	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	359														
54	51	151	157	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	360									31					
54	51	305/2	317/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	361									31, 32					
54	51	153	159	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	362		ornamentShortTrill							31, 32					
54	51	307/2	319/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	363									31					
54	51	151	157	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	364														
54	51	152	158	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	365														
54	51	153	159	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	366														
55	52	154	160	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	367									31					
55	52	309/2	321/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	368									31					
55	52	155	161	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	369									31					
55	52	156	162	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	370														
55	52	155	161	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	371														
55	52	156	162	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	372														
56	53	157	163	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	373									33					
56	53	317/2	329/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	374									33					
56	53	159	165	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	375									33					
56	53	319/2	331/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	376									33					
56	53	157	163	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	377														
56	53	158	164	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	378														
57	54	160	166	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	379									33					
57	54	321/2	333/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	380									33					
57	54	161	167	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	381									33					
57	54	162	168	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	382									33					
57	54	325/2	337/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	383														
58	55	163	169	0.0		0	0	StaffText	3/4	1	1	0							riten.											
58	55	163	169	0.0		0	0	StaffText	3/4	1	1	0							marcato											
58	55	163	169	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	384									34					
58	55	327/2	339/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	385									34					
58	55	164	170	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	386									34					
58	55	165	171	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	387									34					
58	55	163	169	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	388														
58	55	164	170	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	389														
58	55	165	171	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	390														
59	56	166	172	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	391														
59	56	168	174	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	392														
59	56	166	172	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	393														
59	56	167	173	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	394														
60	57	169	175	0.0		0	0	StaffText	3/4	1	1	0							a tempo											
60	57	169	175	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	395									35					
60	57	170	176	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	396									35					
60	57	341/2	353/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	397									35					
60	57	171	177	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	398									35					
60	57	343/2	355/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	399									35					
60	57	169	175	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	400														
60	57	170	176	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	401														
60	57	171	177	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	402														
61	58	172	178	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	403									35					
61	58	345/2	357/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	404									35					
61	58	173	179	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	405									35					
61	58	174	180	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	406														
61	58	173	179	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	407														
61	58	174	180	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	408														
62	59	175	181	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	409									36					
62	59	353/2	365/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	410									36					
62	59	177	183	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	411									36					
62	59	355/2	367/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	412									36					
62	59	175	181	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	413														
62	59	176	182	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	414														
62	59	177	183	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	415														
63	60	178	184	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	416									36					
63	60	357/2	369/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	417									36					
63	60	179	185	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	418									36					
63	60	180	186	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	419														
63	60	179	185	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	420														
63	60	180	186	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	421														
64	61	181	187	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	422									37					
64	61	365/2	377/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	423									37, 38					
64	61	183	189	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	424									37, 38					
64	61	367/2	379/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	425									37					
64	61	181	187	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	426														
64	61	182	188	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	427														
65	62	184	190	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	428									37					
65	62	369/2	381/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	429									37					
65	62	185	191	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	430									37					
65	62	371/2	383/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	431									37					
65	62	186	192	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	432									37					
65	62	373/2	385/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	433														
66	63	187	193	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	434									39					
66	63	375/2	387/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	435									39					
66	63	188	194	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	436									39					
66	63	377/2	389/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	437									39					
66	63	189	195	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	438									39					
66	63	379/2	391/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	439									39					
66	63	187	193	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	440														
66	63	188	194	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	441														
66	63	189	195	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	442														
67	64	190	196	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	443														
67	64	192	198	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	444														
67	64	190	196	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	445														
67	64	191	197	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	446														
68	65	193	199	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	447									40					
68	65	389/2	401/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	448									40					
68	65	195	201	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	449									40					
68	65	391/2	403/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	450									40					
68	65	193	199	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	451														
68	65	194	200	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	452														
68	65	195	201	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	453														
69	66	196	202	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	454									40					
69	66	589/3	607/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	455									40					
69	66	590/3	608/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	456									40					
69	66	197	203	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	457									40					
69	66	198	204	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	458														
69	66	197	203	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	459														
69	66	198	204	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	460		articAccentAbove												
70	67	199	205	0.0		0	0	Spanner	3/4	1	1	0														3				
70	67	199	205	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	461									41	3				
70	67	401/2	413/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	462									41	3				
70	67	201	207	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	463									41	3				
70	67	403/2	415/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	464									41	3				
70	67	199	205	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	465														
70	67	200	206	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	466														
70	67	201	207	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	467														
71	68	202	208	0.0		0	0	Spanner	3/4	1	1	0													41					
71	68	202	208	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	468									41					
71	68	607/3	625/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	469									41					
71	68	608/3	626/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	470									41					
71	68	203	209	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	471									41					
