mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	crescendo_line	decrescendo_hairpin	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>
35	35	103	103	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	245															
35	35	104	104	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	246															
36	36	105	105	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	247		articStaccatissimoBelow													
36	36	423/4	423/4	0.0	3/16	3/16	Spanner	3/4	1	1	0														9					
36	36	423/4	423/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	248									40	9					
36	36	106	106	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	249									40	9					
36	36	213/2	213/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	250									40	9					
36	36	107	107	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	251									40	9					
36	36	215/2	215/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	252										9					
36	36	105	105	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	253		articStaccatoAbove													
36	36	106	106	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	254									41						
36	36	107	107	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	255															
37	37	108	108	0.0	0	0	StaffText	3/4	1	1	0							dolce												
37	37	108	108	0.0	0	0	Spanner	3/4	1	1	0																			
37	37	108	108	0.0	0	0	Spanner	3/4	1	1	0																1			
37	37	108	108	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	256									42			1			
37	37	108	108	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	257									42			1			
37	37	435/4	435/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	258									42			1			
37	37	109	109	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	259		ornamentShortTrill							42			1			
37	37	110	110	0.0	1/2	1/2	Spanner	3/4	1	1	0													42						
37	37	110	110	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	260									42						
37	37	221/2	221/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	261															
37	37	108	108	0.0	0	0	Spanner	3/4	2	1	0																		4	4
37	37	108	108	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	262														4	4
37	37	109	109	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	263														4	4
37	37	110	110	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	264														4	4
38	38	111	111	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	265									43						
38	38	223/2	223/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	266									43						
38	38	112	112	0.0	1/4	1/4	Spanner	3/4	1	1	0														10					
38	38	112	112	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	267										10					
38	38	113	113	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	268									44	10					
38	38	227/2	227/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	269									44	10					
38	38	111	111	0.0	0	0	Spanner	3/4	2	1	0																			
38	38	111	111	0.0	0	0	Spanner	3/4	2	1	0																		5	5
38	38	111	111	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	270														5	5
38	38	112	112	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	271														5	5
38	38	113	113	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	272														5	5
39	39	114	114	0.0	0	0	Spanner	3/4	1	1	0																			
39	39	114	114	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	273															
39	39	459/4	459/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	274									45						
39	39	115	115	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	275		ornamentShortTrill							45						
39	39	116	116	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	276									45						
39	39	233/2	233/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	277															
39	39	114	114	0.0	0	0	Spanner	3/4	2	1	0																			
39	39	114	114	0.0	0	0	Spanner	3/4	2	1	0																		6	6
39	39	114	114	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	278														6	6
39	39	115	115	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	279														6	6
39	39	116	116	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	280														6	6
40	40	117	117	0.0	0	0	Spanner	3/4	1	1	0														11					
40	40	117	117	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	281										11					
40	40	471/4	471/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	282									46	11					
40	40	118	118	0.0	1/4	1/4	Spanner	3/4	1	1	0																			
40	40	118	118	0.0	1/4	1/4	Spanner	3/4	1	1	0																2			
40	40	118	118	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	283												2			
40	40	119	119	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	284									47			2			
40	40	239/2	239/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	285												2			
40	40	117	117	0.0	0	0	Spanner	3/4	2	1	0																			
40	40	117	117	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	286															
40	40	118	118	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	287															
40	40	119	119	0.0	1/2	1/2	Dynamic	3/4	2	1	0					fz														
40	40	119	119	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	288															
41	41	120	120	0.0	0	0	Dynamic	3/4	1	1	0					f														
41	41	120	120	0.0	0	0	Spanner	3/4	1	1	0																			
41	41	120	120	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	289		articStaccatoAbove							48						
41	41	483/4	483/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	290		articStaccatoAbove							48						
41	41	121	121	0.0	1/4	1/4	Spanner	3/4	1	1	0													48			3			
41	41	121	121	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	291		articStaccatoAbove							48			3			
41	41	122	122	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	292		articStaccatoAbove										3			
41	41	120	120	0.0	0	0	Spanner	3/4	2	1	0																		7	7
41	41	120	120	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	293														7	7
41	41	121	121	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	294														7	7
41	41	122	122	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	295														7	7
41	41	120	120	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	296														7	7
42	42	123	123	0.0	0	0	Spanner	3/4	1	1	0																			
42	42	123	123	0.0	0	0	Spanner	3/4	1	1	0														12					
42	42	123	123	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	297		articStaccatissimoAbove								12					
42	42	495/4	495/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	298		articStaccatissimoAbove								12					
42	42	124	124	0.0	1/4	1/4	StaffText	3/4	1	1	0							ten.												
42	42	124	124	0.0	1/4	1/4	Spanner	3/4	1	1	0																			
42	42	124	124	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	299															
42	42	123	123	0.0	0	0	Spanner	3/4	2	1	0																			
42	42	123	123	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	300															
42	42	124	124	0.0	1/4	1/4	Spanner	3/4	2	1	0																		8	8
42	42	124	124	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	301														8	8
43	43	126	126	0.0	0	0	Dynamic	3/4	1	1	0					p														
43	43	126	126	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	302															
43	43	507/4	507/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	303									49						
43	43	127	127	0.0	1/4	1/4	Spanner	3/4	1	1	0													49	13					
43	43	127	127	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	304									49	13					
43	43	128	128	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	305										13					
43	43	127	127	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	306										13					
43	43	126	126	0.0	0	0	Spanner	3/4	2	1	0																			
43	43	126	126	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	307															
43	43	507/4	507/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	308															
43	43	127	127	0.0	1/4	1/4	Spanner	3/4	2	1	0																		9	9
43	43	127	127	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	309														9	9
43	43	128	128	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	310														9	9
44	44	129	129	0.0	0	0	Spanner	3/4	1	1	0																			
44	44	129	129	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	311															
44	44	519/4	519/4	0.0	3/16	3/16	Spanner	3/4	1	1	0														14					
44	44	519/4	519/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	312										14					
44	44	130	130	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	313										14					
44	44	131	131	0.0	1/2	1/2	Spanner	3/4	1	1	0																			
44	44	131	131	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	314															
44	44	130	130	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	315															
44	44	129	129	0.0	0	0	Spanner	3/4	2	1	0																			
44	44	129	129	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	316															
44	44	519/4	519/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	317															
44	44	130	130	0.0	1/4	1/4	Spanner	3/4	2	1	0																		10	10
44	44	130	130	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	318														10	10
44	44	131	131	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	319														10	10
45	45	132	132	0.0	0	0	Dynamic	3/4	1	1	0					ff														
45	45	132	132	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	320															
45	45	531/4	531/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	321		articStaccatoAbove							50						
45	45	133	133	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	322		articStaccatoAbove							50						
45	45	134	134	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	323		articStaccatoAbove													
45	45	132	132	0.0	0	0	Spanner	3/4	2	1	0																			
45	45	133	133	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	324															
45	45	134	134	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	325															
45	45	132	132	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	326															
45	45	133	133	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	327															
46	46	135	135	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	328		articStaccatissimoAbove													
46	46	543/4	543/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	329		articStaccatissimoAbove													
46	46	136	136	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	330															
46	46	135	135	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	331															
46	46	136	136	0.0	1/4	1/4	Spanner	3/4	2	1	0																		11	11
46	46	136	136	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	332														11	11
47	47	138	138	0.0	0	0	Dynamic	3/4	1	1	0					p														
47	47	138	138	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	333															
47	47	555/4	555/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	334									51						
47	47	139	139	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	335		articAccentAbove													
47	47	140	140	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	336															
47	47	139	139	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	337															
47	47	138	138	0.0	0	0	Spanner	3/4	2	1	0																			
47	47	138	138	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	338															
47	47	555/4	555/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	339															
47	47	139	139	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	340															
47	47	140	140	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	341															
47	47	138	138	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	342															
47	47	139	139	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	343															
48	48	141	141	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	344															
48	48	567/4	567/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	345									52						
48	48	142	142	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	346		articAccentAbove													
48	48	143	143	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	347															
48	48	142	142	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	348															
48	48	141	141	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	349															
48	48	567/4	567/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	350															
48	48	142	142	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	351															
48	48	143	143	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	352															
48	48	141	141	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	353															
48	48	142	142	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	354															
49	49	144	144	0.0	0	0	Dynamic	3/4	1	1	0					f														
49	49	144	144	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	355									53						
49	49	579/4	579/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	356									53						
49	49	145	145	0.0	1/4	1/4	Spanner	3/4	1	1	0													53			4			
49	49	145	145	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	357		articStaccatoAbove							53			4			
49	49	146	146	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	358		articStaccatoAbove										4			
49	49	144	144	0.0	0	0	Spanner	3/4	2	1	0																		12	12
49	49	145	145	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	359														12	12
49	49	146	146	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	360														12	12
49	49	144	144	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	361														12	12
49	49	145	145	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	362														12	12
50	50	147	147	0.0	0	0	Spanner	3/4	1	1	0																			
50	50	147	147	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	363		articStaccatissimoAbove													
50	50	591/4	591/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	364		articStaccatissimoAbove													
50	50	148	148	0.0	1/4	1/4	StaffText	3/4	1	1	0							ten.												
50	50	148	148	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	365															
50	50	147	147	0.0	0	0	Spanner	3/4	2	1	0																			
50	50	147	147	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	366															
50	50	148	148	0.0	1/4	1/4	Spanner	3/4	2	1	0																		13	13
50	50	148	148	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	367		articAccentAbove												13	13
51	51	150	150	0.0	0	0	Dynamic	3/4	1	1	0					p														
51	51	150	150	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	368															
51	51	603/4	603/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	369									54						
51	51	151	151	0.0	1/4	1/4	Spanner	3/4	1	1	0														15					
51	51	151	151	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	370										15					
51	51	152	152	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	371										15					
51	51	151	151	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	372										15					
51	51	150	150	0.0	0	0	Spanner	3/4	2	1	0																			
51	51	150	150	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	373															
51	51	603/4	603/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	374															
51	51	151	151	0.0	1/4	1/4	Spanner	3/4	2	1	0																		14	14
51	51	151	151	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	375														14	14
51	51	152	152	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	376														14	14
52	52	153	153	0.0	0	0	Spanner	3/4	1	1	0																			
52	52	153	153	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	377															
52	52	615/4	615/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	378									55						
52	52	154	154	0.0	1/4	1/4	Spanner	3/4	1	1	0														16					
52	52	154	154	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	379										16					
52	52	155	155	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	380										16					
52	52	154	154	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	381										16					
52	52	153	153	0.0	0	0	Spanner	3/4	2	1	0																			
52	52	153	153	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	382															
52	52	615/4	615/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	383															
52	52	154	154	0.0	1/4	1/4	Spanner	3/4	2	1	0																		15	15
52	52	154	154	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	384														15	15
52	52	155	155	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	385														15	15
53	53	156	156	0.0	0	0	Dynamic	3/4	1	1	0					ff														
53	53	156	156	0.0	0	0	Spanner	3/4	1	1	0																			
53	53	156	156	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	386									56						
53	53	627/4	627/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	387									56						
53	53	157	157	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	388		articStaccatoAbove							56						
53	53	158	158	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	389		articStaccatoAbove													
53	53	156	156	0.0	0	0	Spanner	3/4	2	1	0																			
53	53	156	156	0.0	0	0	Spanner	3/4	2	1	0																		16	16
53	53	157	157	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	390														16	16
53	53	158	158	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	391														16	16
53	53	156	156	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	392														16	16
53	53	157	157	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	393														16	16
54	54	159	159	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	394															
54	54	639/4	639/4	0.0	3/16	3/16	Spanner	3/4	1	1	0														17					
54	54	639/4	639/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	395										17					
54	54	160	160	0.0	1/4	1/4	StaffText	3/4	1	1	0							ten.												
54	54	160	160	0.0	1/4	1/4	StaffText	3/4	1	1	0							ten.												
54	54	160	160	0.0	1/4	1/4	Spanner	3/4	1	1	0																			
54	54	160	160	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	396															
54	54	159	159	0.0	0	0	Spanner	3/4	2	1	0																			
54	54	159	159	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	397															
54	54	160	160	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	398															
55	55	162	162	0.0	0	0	Dynamic	3/4	1	1	0					p														
55	55	162	162	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	399															
55	55	651/4	651/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	400									57						
55	55	163	163	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	401		articAccentAbove													
55	55	164	164	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	402															
55	55	163	163	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	403															
55	55	162	162	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	404															
55	55	651/4	651/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	405															
55	55	163	163	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	406															
55	55	164	164	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	407															
55	55	162	162	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	408															
55	55	163	163	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	409															
56	56	165	165	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	410															
56	56	663/4	663/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	411									58						
56	56	166	166	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	412															
56	56	167	167	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	413															
56	56	166	166	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	414															
56	56	165	165	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	415															
56	56	663/4	663/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	416															
56	56	166	166	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	417															
56	56	165	165	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	418															
56	56	166	166	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	419															
56	56	167	167	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	420									59						
56	56	335/2	335/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	421															
57	57	168	168	0.0	0	0	Dynamic	3/4	1	1	0					p														
57	57	168	168	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	422									60						
57	57	169	169	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	423									60						
57	57	170	170	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	424		articAccentBelow							60						
57	57	168	168	0.0	0	0	StaffText	3/4	2	1	0							marcato												
57	57	168	168	1.5	0	0	Chord	3/4	2	1	3/8		1/4	3/2	425															
57	57	339/2	339/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	426									61						
57	57	170	170	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	427									61						
57	57	341/2	341/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	428									61						
58	58	171	171	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	429									60						
58	58	172	172	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	430									60						
58	58	173	173	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	431									60						
58	58	171	171	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	432									61						
58	58	343/2	343/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	433									61						
58	58	172	172	1.5	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	434									61						
58	58	347/2	347/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	435															
59	59	174	174	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	436									60						
59	59	175	175	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	437									60						
59	59	176	176	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	438									60						
59	59	174	174	0.0	0	0	Chord	3/4	2	1	0	acciaccatura	1/8	1	439									62						
59	59	174	174	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	440									62						
59	59	699/4	699/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	441									62						
59	59	175	175	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	442															
59	59	176	176	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	443									63						
60	60	177	177	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	444									60						
60	60	178	178	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	445									60						
60	60	179	179	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	446		articAccentBelow							60						
60	60	177	177	0.0	0	0	Spanner	3/4	2	1	0													63	18					
60	60	177	177	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	447									63	18					
60	60	711/4	711/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	448									63	18					
60	60	178	178	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	449										18					
61	61	180	180	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	450															
61	61	181	181	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	451									64						
61	61	182	182	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	452									64						
61	61	180	180	0.0	0	0	Spanner	3/4	2	1	0																			
61	61	180	180	1.5	0	0	Chord	3/4	2	1	3/8		1/4	3/2	453															
61	61	363/2	363/2	0.0	3/8	3/8	Spanner	3/4	2	1	0														19					
61	61	363/2	363/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	454									65	19					
61	61	182	182	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	455									65	19					
61	61	365/2	365/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	456									65	19					
62	62	183	183	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	457									64						
62	62	184	184	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	458									64						
62	62	185	185	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	459									64						
62	62	183	183	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	460									65	19					
62	62	367/2	367/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	461									65	19					
62	62	184	184	0.0	1/4	1/4	Spanner	3/4	2	1	0																			
62	62	184	184	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	462															
62	62	185	185	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	463									66						
62	62	371/2	371/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	464									66						
63	63	186	186	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	465									64						
63	63	187	187	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	466															
63	63	188	188	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	467															
63	63	186	186	0.0	0	0	Chord	3/4	2	1	0	acciaccatura	1/8	1	468									66						
63	63	186	186	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	469									66						
63	63	747/4	747/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	470									66						
63	63	187	187	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	471															
63	63	188	188	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	472		articAccentBelow							67						
64	64	189	189	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	473									68						
64	64	190	190	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	474									68						
64	64	191	191	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	475		articAccentBelow							68						
64	64	189	189	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	476									67						
64	64	379/2	379/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	477									67						
64	64	190	190	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	478															
64	64	191	191	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	479									69						
