mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	diminuendo_line	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va
32	31	91	91	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	244												2			
32	31	183/2	183/2	0.0	1/8	1/8	Spanner	3/4	1	1	0																			
32	31	367/4	367/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	245									30						
32	31	92	92	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	246									30						
32	31	93	93	0.0	1/2	1/2	Spanner	3/4	1	1	0													30	0					
32	31	93	93	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	247									30	0					
32	31	91	91	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	248															
32	31	367/4	367/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	249									31						
32	31	92	92	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	250									31						
32	31	93	93	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	251									31						
33	32	94	94	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	252										0					
33	32	379/4	379/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	253									32	0					
33	32	95	95	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	254									32	0					
33	32	96	96	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	255									32	0					
33	32	94	94	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	256															
33	32	379/4	379/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	257									33						
33	32	95	95	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	258									33						
33	32	96	96	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	259															
34	33	97	97	0.0	0	0	Spanner	3/4	1	1	0																			
34	33	97	97	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	260									34						
34	33	197/2	197/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	261									34						
34	33	99	99	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	262									34						
34	33	99	99	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	263									34						
34	33	99	99	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	264									34						
34	33	199/2	199/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	265									34						
34	33	97	97	0.0	0	0	Dynamic	3/4	1	2	0					f														
34	33	97	97	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	266															
34	33	98	98	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	267															
34	33	99	99	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	268															
34	33	97	97	0.0	0	0	Spanner	3/4	2	1	0																	11	11	
34	33	97	97	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	269													11	11	
34	33	98	98	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	270													11	11	
34	33	99	99	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	271													11	11	
35	34	100	100	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	272															
35	34	403/4	403/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	273									35						
35	34	102	102	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	274															
35	34	100	100	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	275															
35	34	403/4	403/4	0.25	3/16	3/16	Chord	3/4	1	2	1/16		1/16	1	276															
35	34	101	101	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	277															
35	34	100	100	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	278													11	11	
35	34	101	101	0.0	1/4	1/4	Spanner	3/4	2	1	0																			
35	34	101	101	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	279															
35	34	102	102	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	280															
36	35	103	103	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	281									36						
36	35	209/2	209/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	282									36						
36	35	105	105	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	283									36						
36	35	211/2	211/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	284									36						
36	35	103	103	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	285															
36	35	103	103	1.0	0	0	Chord	3/4	1	3	1/4		1/4	1	286		articAccentAbove													
36	35	104	104	1.0	1/4	1/4	Chord	3/4	1	3	1/4		1/4	1	287															
36	35	105	105	0.5	1/2	1/2	Chord	3/4	1	3	1/8		1/8	1	288															
36	35	211/2	211/2	0.5	5/8	5/8	Chord	3/4	1	3	1/8		1/8	1	289															
36	35	103	103	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	290															
36	35	104	104	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	291															
36	35	105	105	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	292															
37	36	106	106	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	293															
37	36	427/4	427/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	294									37						
37	36	107	107	0.0	1/4	1/4	Spanner	3/4	1	1	0													37			3			
37	36	107	107	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	295									37			3			
37	36	108	108	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	296									37			3			
37	36	106	106	0.0	0	0	Spanner	3/4	2	1	0																	12	12	
37	36	106	106	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	297													12	12	
37	36	107	107	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	298													12	12	
37	36	108	108	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	299													12	12	
38	37	109	109	0.0	0	0	Spanner	3/4	1	1	0													37						
38	37	109	109	0.0	0	0	Spanner	3/4	1	1	0													37		2				
38	37	109	109	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	300									37		2				
38	37	221/2	221/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	301									37		2				
38	37	111	111	0.0	1/2	1/2	Spanner	3/4	1	1	0													37						
38	37	111	111	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	302									37						
38	37	223/2	223/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	303									37						
38	37	109	109	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	304															
38	37	110	110	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	305															
38	37	111	111	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	306															
38	37	109	109	0.0	0	0	Spanner	3/4	2	1	0																			
38	37	109	109	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	307															
38	37	110	110	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	308															
38	37	111	111	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	309															
39	38	112	112	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	310															
39	38	451/4	451/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	311									38						
39	38	113	113	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	312		articStaccatoAbove							38						
39	38	114	114	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	313		articStaccatoAbove													
39	38	112	112	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	314		articStaccatissimoBelow													
39	38	112	112	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	315		articStaccatissimoAbove													
39	38	451/4	451/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	316									39						
39	38	113	113	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	317									39						
39	38	114	114	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	318															
40	39	115	115	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	319		articAccentAbove							40						
40	39	233/2	233/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	320									40						
40	39	117	117	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	321									40						
40	39	235/2	235/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	322									40						
40	39	115	115	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	323															
40	39	116	116	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	324															
40	39	116	116	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	325									41						
40	39	233/2	233/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	326									41						
40	39	117	117	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	327									41						
40	39	235/2	235/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	328															
40	39	115	115	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	329															
40	39	116	116	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	330															
41	40	118	118	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	331		articStaccatissimoBelow													
41	40	475/4	475/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	332															
41	40	119	119	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	333															
41	40	120	120	0.0	1/2	1/2	Dynamic	3/4	1	1	0					fz														
41	40	120	120	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	334															
41	40	118	118	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	335		articStaccatissimoAbove													
41	40	475/4	475/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	336									42						
41	40	119	119	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	337															
41	40	120	120	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	338															
42	41	121	121	0.0	0	0	Dynamic	3/4	1	1	0					p														
42	41	121	121	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	339		articStaccatoBelow							43						
42	41	122	122	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	340		articStaccatoAbove							43						
42	41	123	123	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	341		articStaccatoBelow							43						
43	42	124	124	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	342		articStaccatoAbove							43						
43	42	249/2	249/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	343		articStaccatoAbove							43						
43	42	125	125	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	344		articStaccatoBelow							43						
43	42	126	126	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	345		articStaccatoAbove							43						
44	43	127	127	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	346		articStaccatoBelow							43						
44	43	128	128	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	347		articStaccatoAbove							43						
44	43	129	129	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	348									43						
45	44	130	130	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	349		articStaccatoAbove							43						
45	44	261/2	261/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	350		articStaccatoAbove							43						
45	44	131	131	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	351		articStaccatoBelow							43						
45	44	132	132	0.0	1/2	1/2	Dynamic	3/4	2	1	0					p														
45	44	132	132	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	352		articStaccatoAbove													
46	45	133	133	0.0	0	0	StaffText	3/4	1	1	0							dolce												
46	45	133	133	0.0	0	0	Spanner	3/4	1	1	0																4			
46	45	133	133	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	353												4			
46	45	535/4	535/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	354									44			4			
46	45	134	134	0.0	1/4	1/4	Spanner	3/4	1	1	0													44						
46	45	134	134	0.0	1/4	1/4	Spanner	3/4	1	1	0													44		3				
46	45	134	134	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	355									44		3				
46	45	134	134	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	356									44		3				
46	45	271/2	271/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	357									44		3				
46	45	133	133	0.0	0	0	Spanner	3/4	2	1	0																	13	13	
46	45	133	133	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	358													13	13	
46	45	134	134	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	359													13	13	
46	45	135	135	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	360													13	13	
47	46	136	136	0.0	0	0	Spanner	3/4	1	1	0													44						
47	46	136	136	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	361									44						
47	46	273/2	273/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	362									44						
47	46	137	137	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	363		articStaccatoAbove													
47	46	138	138	0.0	1/2	1/2	Spanner	3/4	1	1	0															4				
47	46	138	138	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	364									45		4				
47	46	136	136	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	365													13	13	
47	46	273/2	273/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	366													13	13	
47	46	137	137	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	367													13	13	
47	46	138	138	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	368													13	13	
48	47	139	139	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	369		articStaccatoBelow									4				
48	47	279/2	279/2	0.0	1/8	1/8	Spanner	3/4	1	1	0																			
48	47	559/4	559/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	370									46						
48	47	140	140	0.0	1/4	1/4	Spanner	3/4	1	1	0													46		5				
48	47	140	140	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	371									46		5				
48	47	140	140	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	372									46		5				
48	47	283/2	283/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	373									46		5				
48	47	139	139	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	374													13	13	
48	47	140	140	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	375													13	13	
48	47	141	141	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	376													13	13	
49	48	142	142	0.0	0	0	Spanner	3/4	1	1	0																			
49	48	142	142	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	377															
49	48	571/4	571/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	378									47						
49	48	143	143	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	379									47						
49	48	144	144	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	380									47						
49	48	142	142	0.0	0	0	Spanner	3/4	2	1	0																			
49	48	142	142	0.0	0	0	Spanner	3/4	2	1	0																	14	14	
49	48	142	142	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	381													14	14	
49	48	285/2	285/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	382													14	14	
49	48	143	143	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	383													14	14	
49	48	144	144	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	384													14	14	
50	49	145	145	0.0	0	0	Spanner	3/4	1	1	0																5			
50	49	145	145	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	385												5			
50	49	291/2	291/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	386									48			5			
50	49	146	146	0.0	1/4	1/4	Spanner	3/4	1	1	0													48						
50	49	146	146	0.0	1/4	1/4	Spanner	3/4	1	1	0													48		6				
50	49	146	146	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	387									48		6				
50	49	146	146	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	388									48		6				
50	49	295/2	295/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	389											6				
50	49	145	145	0.0	0	0	Spanner	3/4	2	1	0																			
50	49	145	145	0.0	0	0	Spanner	3/4	2	1	0																	15	15	
50	49	145	145	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	390													15	15	
50	49	146	146	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	391													15	15	
50	49	147	147	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	392													15	15	
51	50	148	148	0.0	0	0	Spanner	3/4	1	1	0																			
51	50	148	148	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	393									49						
51	50	297/2	297/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	394									49						
51	50	149	149	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	395															
51	50	150	150	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	396															
51	50	150	150	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	397															
51	50	148	148	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	398		articStaccatoAbove											15	15	
51	50	297/2	297/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	399		articStaccatoAbove											15	15	
51	50	149	149	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	400													15	15	
51	50	150	150	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	401		articStaccatoAbove											15	15	
52	51	151	151	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	402		ornamentShortTrill							50						
52	51	152	152	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	403									50						
52	51	305/2	305/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	404									50						
52	51	153	153	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	405		ornamentShortTrill							50						
52	51	151	151	0.0	0	0	Spanner	3/4	2	1	0																			
52	51	151	151	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	406															
52	51	152	152	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	407															
52	51	153	153	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	408															
53	52	154	154	0.0	0	0	StaffText	3/4	1	1	0							dim.						50						
53	52	154	154	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	409									50						
53	52	309/2	309/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	410									50						
53	52	155	155	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	411		ornamentShortTrill							50						
53	52	156	156	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	412									50						
53	52	313/2	313/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	413									50						
53	52	154	154	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	414		articStaccatoBelow													
53	52	155	155	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	415															
53	52	156	156	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	416															
54	53	157	157	0.0	0	0	Spanner	3/4	1	1	0																6			
54	53	157	157	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	417												6			
54	53	631/4	631/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	418									51			6			
54	53	158	158	0.0	1/4	1/4	Spanner	3/4	1	1	0													51						
54	53	158	158	0.0	1/4	1/4	Spanner	3/4	1	1	0													51		7				
54	53	158	158	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	419									51		7				
54	53	158	158	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	420									51		7				
54	53	319/2	319/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	421									51		7				
54	53	157	157	0.0	0	0	Spanner	3/4	2	1	0																	16	16	
54	53	157	157	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	422		articStaccatoBelow											16	16	
54	53	158	158	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	423													16	16	
54	53	159	159	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	424													16	16	
55	54	160	160	0.0	0	0	Spanner	3/4	1	1	0													51						
55	54	160	160	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	425									51						
55	54	321/2	321/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	426									51						
55	54	161	161	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	427		articStaccatissimoAbove													
55	54	162	162	0.0	1/2	1/2	Spanner	3/4	1	1	0															8				
55	54	162	162	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	428									52		8				
55	54	160	160	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	429													16	16	
55	54	321/2	321/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	430													16	16	
55	54	161	161	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	431													16	16	
55	54	162	162	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	432													16	16	
56	55	163	163	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	433		articStaccatissimoBelow									8				
56	55	327/2	327/2	0.0	1/8	1/8	Spanner	3/4	1	1	0																			
56	55	655/4	655/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	434									53						
56	55	164	164	0.0	1/4	1/4	Spanner	3/4	1	1	0													53		9				
56	55	164	164	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	435									53		9				
56	55	164	164	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	436									53		9				
56	55	331/2	331/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	437									53		9				
56	55	163	163	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	438													16	16	
56	55	164	164	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	439													16	16	
56	55	165	165	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	440													16	16	
57	56	166	166	0.0	0	0	Spanner	3/4	1	1	0																			
57	56	166	166	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	441															
57	56	667/4	667/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	442									54						
57	56	167	167	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	443									54						
57	56	168	168	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	444									54						
57	56	166	166	0.0	0	0	Spanner	3/4	2	1	0																			
57	56	166	166	0.0	0	0	Spanner	3/4	2	1	0																	17	17	
57	56	166	166	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	445													17	17	
57	56	333/2	333/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	446													17	17	
57	56	167	167	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	447													17	17	
57	56	168	168	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	448													17	17	
58	57	169	169	0.0	0	0	Spanner	3/4	1	1	0																7			
58	57	169	169	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	449												7			
58	57	339/2	339/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	450									55			7			
58	57	170	170	0.0	1/4	1/4	Spanner	3/4	1	1	0													55						
58	57	170	170	0.0	1/4	1/4	Spanner	3/4	1	1	0													55		10				
58	57	170	170	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	451									55		10				
58	57	170	170	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	452									55		10				
58	57	343/2	343/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	453											10				
58	57	169	169	0.0	0	0	Spanner	3/4	2	1	0																			
58	57	169	169	0.0	0	0	Spanner	3/4	2	1	0																	18	18	
58	57	169	169	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	454													18	18	
58	57	170	170	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	455													18	18	
58	57	171	171	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	456													18	18	
59	58	172	172	0.0	0	0	Spanner	3/4	1	1	0																			
59	58	172	172	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	457									56						
59	58	345/2	345/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	458									56						
59	58	173	173	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	459		articStaccatissimoAbove													
59	58	174	174	0.0	1/2	1/2	Spanner	3/4	1	1	0																			0
59	58	174	174	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	460															0
59	58	174	174	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	461															0
59	58	349/2	349/2	0.0	5/8	5/8	Spanner	3/4	1	1	0																			
59	58	172	172	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	462													18	18	
59	58	345/2	345/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	463													18	18	
59	58	173	173	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	464													18	18	
59	58	174	174	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	465													18	18	
60	59	175	175	0.0	0	0	Spanner	3/4	1	1	0															11				
60	59	175	175	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	466									57		11				
60	59	351/2	351/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	467									57		11				
60	59	176	176	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	468									57		11				
60	59	353/2	353/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	469									57		11				
60	59	177	177	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	470									57		11				
60	59	355/2	355/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	471									57		11				
60	59	175	175	0.0	0	0	Spanner	3/4	2	1	0																			
60	59	175	175	0.0	0	0	Spanner	3/4	2	1	0																	19	19	
60	59	175	175	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	472													19	19	
60	59	176	176	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	473													19	19	
60	59	177	177	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	474													19	19	
61	60	178	178	0.0	0	0	Spanner	3/4	1	1	0																			
61	60	178	178	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	475															
61	60	715/4	715/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	476									58						
61	60	179	179	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	477															
61	60	178	178	0.0	0	0	Spanner	3/4	2	1	0																			
61	60	178	178	0.0	0	0	Spanner	3/4	2	1	0																	20	20	
61	60	178	178	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	478													20	20	
61	60	179	179	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	479													20	20	
61	60	180	180	0.0	1/2	1/2	Spanner	3/4	2	1	0																			
