mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	diminuendo_line	HairPin:3_decresc.	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
37	37	108	108	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	238		articStaccatissimoAbove															
37	37	435/4	435/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	239		articStaccatissimoAbove															
37	37	109	109	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	240		articAccentAbove															
37	37	108	108	0.0	0	0	Spanner	3/4	2	1	0																					
37	37	108	108	0.0	0	0	Spanner	3/4	2	1	0																				12	12
37	37	108	108	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	241																12	12
37	37	109	109	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	242																12	12
38	38	111	111	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	243																	
38	38	447/4	447/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	244										35							
38	38	112	112	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	245										35							
38	38	113	113	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	246										35							
38	38	227/2	227/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	247										35							
38	38	113	113	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	248																	
38	38	227/2	227/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	249																	
38	38	113	113	1.0	1/2	1/2	Chord	3/4	1	3	1/4		1/4	1	250																	
38	38	111	111	0.0	0	0	Spanner	3/4	2	1	0																					
38	38	111	111	0.0	0	0	Spanner	3/4	2	1	0																				13	13
38	38	111	111	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	251																13	13
38	38	112	112	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	252																13	13
38	38	113	113	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	253																13	13
39	39	114	114	0.0	0	0	Dynamic	3/4	1	1	0					p																
39	39	114	114	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	254																	
39	39	459/4	459/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	255										36							
39	39	115	115	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	256		articStaccatoBelow								36							
39	39	116	116	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	257		articAccentBelow															
39	39	114	114	0.0	0	0	Spanner	3/4	2	1	0																					
39	39	114	114	0.0	0	0	Spanner	3/4	2	1	0																				14	14
39	39	114	114	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	258																14	14
39	39	115	115	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	259																14	14
39	39	116	116	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	260		articAccentAbove														14	14
40	40	117	117	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	261		articStaccatissimoBelow															
40	40	471/4	471/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	262										37							
40	40	118	118	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	263		articStaccatoBelow								37							
40	40	119	119	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	264		articStaccatoBelow															
40	40	117	117	0.0	0	0	Spanner	3/4	2	1	0																					
40	40	117	117	0.0	0	0	Spanner	3/4	2	1	0																				15	15
40	40	117	117	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	265																15	15
40	40	118	118	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	266																15	15
40	40	119	119	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	267		articAccentAbove														15	15
41	41	120	120	0.0	0	0	Dynamic	3/4	1	1	0					p																
41	41	120	120	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	268																	
41	41	120	120	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	269																	
41	41	483/4	483/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	270										38							
41	41	121	121	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	271										38							
41	41	243/2	243/2	0.0	3/8	3/8	Spanner	3/4	1	1	0														38				0			
41	41	243/2	243/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	272										38				0			
41	41	122	122	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	273										38				0			
41	41	245/2	245/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	274										38				0			
41	41	243/2	243/2	1.5	3/8	3/8	Chord	3/4	1	2	3/8		1/4	3/2	275														0			
41	41	120	120	0.0	0	0	Spanner	3/4	2	1	0																					
41	41	120	120	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	276																	
41	41	121	121	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	277																	
41	41	122	122	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	278																	
42	42	123	123	0.0	0	0	Spanner	3/4	1	1	0														38							
42	42	123	123	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	279										38							
42	42	247/2	247/2	0.0	1/8	1/8	Spanner	3/4	1	1	0														38					2		
42	42	247/2	247/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	280										38					2		
42	42	124	124	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	281		articStaccatoBelow								38					2		
42	42	249/2	249/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	282		articStaccatoBelow								38					2		
42	42	125	125	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	283										38					2		
42	42	247/2	247/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	284															2		
42	42	124	124	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	285										39					2		
42	42	123	123	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	286																	
42	42	124	124	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	287																	
42	42	125	125	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	288																	
43	43	126	126	0.0	0	0	Spanner	3/4	1	1	0																					
43	43	126	126	0.0	0	0	Spanner	3/4	1	1	0																		1			
43	43	126	126	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	289														1			
43	43	253/2	253/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	290										40				1			
43	43	127	127	0.0	1/4	1/4	Spanner	3/4	1	1	0														40							
43	43	127	127	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	291										40							
43	43	255/2	255/2	0.0	3/8	3/8	Spanner	3/4	1	1	0														40				2			
43	43	255/2	255/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	292										40				2			
43	43	128	128	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	293										40				2			
43	43	257/2	257/2	0.0	5/8	5/8	Spanner	3/4	1	1	0																					
43	43	257/2	257/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	294																	
43	43	255/2	255/2	1.5	3/8	3/8	Chord	3/4	1	2	3/8		1/4	3/2	295																	
43	43	126	126	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	296																	
43	43	127	127	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	297																	
43	43	128	128	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	298																	
44	44	129	129	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	299										41							
44	44	259/2	259/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	300										41							
44	44	130	130	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	301										41							
44	44	261/2	261/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	302		ornamentShortTrill															
44	44	131	131	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	303										42							
44	44	129	129	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	304																	
44	44	130	130	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	305																	
44	44	131	131	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	306																	
45	45	132	132	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	307		articStaccatoAbove															
45	45	531/4	531/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	308										43							
45	45	133	133	0.0	1/4	1/4	Spanner	3/4	1	1	0														43				3			
45	45	133	133	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	309										43				3			
45	45	267/2	267/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	310										43				3			
45	45	134	134	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	311										43				3			
45	45	269/2	269/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	312										43				3			
45	45	132	132	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	313																	
45	45	133	133	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	314																	
45	45	134	134	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	315																	
46	46	135	135	0.0	0	0	Spanner	3/4	1	1	0																					
46	46	135	135	0.0	0	0	Spanner	3/4	1	1	0															2						
46	46	135	135	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	316											2						
46	46	271/2	271/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	317										44	2						
46	46	136	136	0.0	1/4	1/4	Spanner	3/4	1	1	0														44							
46	46	136	136	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	318										44							
46	46	273/2	273/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	319																	
46	46	137	137	0.0	1/2	1/2	Dynamic	3/4	1	1	0					f																
46	46	137	137	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	320										45							
46	46	135	135	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	321																	
46	46	136	136	0.0	1/4	1/4	Spanner	3/4	2	1	0																			3		
46	46	136	136	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	322															3		
46	46	273/2	273/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	323															3		
46	46	137	137	0.0	1/2	1/2	Spanner	3/4	2	1	0																					
46	46	137	137	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	324																	
47	47	138	138	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	325										45							
47	47	277/2	277/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	326										45							
47	47	139	139	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	327										45							
47	47	279/2	279/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	328										45							
47	47	140	140	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	329										45							
47	47	281/2	281/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	330										45							
47	47	138	138	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	331																	
47	47	277/2	277/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	332										46							
47	47	139	139	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	333										46							
47	47	279/2	279/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	334										46							
47	47	140	140	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	335										46							
47	47	281/2	281/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	336										46							
48	48	141	141	0.0	0	0	StaffText	3/4	1	1	0							stretto							45							
48	48	141	141	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	337										45							
48	48	283/2	283/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	338										45							
48	48	142	142	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	339										45							
48	48	285/2	285/2	0.0	3/8	3/8	Spanner	3/4	1	1	0														45		0					
48	48	285/2	285/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	340										45		0					
48	48	143	143	0.0	1/2	1/2	Spanner	3/4	1	1	0														45							
48	48	143	143	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	341										45							
48	48	287/2	287/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	342																	
48	48	141	141	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	343										46							
48	48	283/2	283/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	344										46							
48	48	142	142	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	345										46							
48	48	285/2	285/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	346										46							
48	48	143	143	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	347										46							
48	48	287/2	287/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	348										46							
49	49	144	144	0.0	0	0	StaffText	3/4	1	1	0							risvegliato														
49	49	144	144	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	349										47							
49	49	579/4	579/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	350										47							
49	49	145	145	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	351										47							
49	49	146	146	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	352										47							
49	49	293/2	293/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	353										47							
49	49	144	144	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	354																	
49	49	145	145	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	355																	
49	49	146	146	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	356										48							
50	50	147	147	0.0	0	0	Spanner	3/4	1	1	0														47					4		
50	50	147	147	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	357										47					4		
50	50	295/2	295/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	358										47					4		
50	50	148	148	0.0	1/4	1/4	Spanner	3/4	1	1	0														47							
50	50	148	148	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	359										47							
50	50	299/2	299/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	360																	
50	50	147	147	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	361										48							
50	50	148	148	0.0	1/4	1/4	Spanner	3/4	2	1	0																			5		
50	50	148	148	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	362															5		
50	50	149	149	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	363										49					5		
51	51	150	150	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	364		articAccentAbove								50							
51	51	301/2	301/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	365																	
51	51	151	151	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	366																	
51	51	152	152	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	367										51							
51	51	305/2	305/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	368																	
51	51	150	150	0.0	0	0	Spanner	3/4	2	1	0														49							
51	51	150	150	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	369										49							
51	51	151	151	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	370																	
51	51	152	152	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	371										52							
52	52	153	153	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	372		articAccentAbove								53							
52	52	307/2	307/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	373																	
52	52	154	154	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	374																	
52	52	155	155	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	375										54							
52	52	311/2	311/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	376																	
52	52	153	153	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	377										52							
52	52	154	154	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	378																	
52	52	155	155	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	379																	
53	53	156	156	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	380		ornamentShortTrill								55							
53	53	627/4	627/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	381										55							
53	53	157	157	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	382										55							
53	53	158	158	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	383										55							
53	53	317/2	317/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	384										55							
53	53	156	156	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	385																	
53	53	157	157	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	386																	
53	53	158	158	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	387										56							
54	54	159	159	0.0	0	0	Spanner	3/4	1	1	0														55					6		
54	54	159	159	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	388										55					6		
54	54	319/2	319/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	389										55					6		
54	54	160	160	0.0	1/4	1/4	Spanner	3/4	1	1	0														55							
54	54	160	160	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	390										55							
54	54	323/2	323/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	391																	
54	54	159	159	0.0	0	0	Spanner	3/4	2	1	0														56					7		
54	54	159	159	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	392										56					7		
54	54	160	160	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	393										56					7		
54	54	161	161	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	394										56					7		
55	55	162	162	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	395		articAccentAbove								57							
55	55	325/2	325/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	396																	
55	55	163	163	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	397																	
55	55	164	164	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	398		articAccentBelow								58							
55	55	329/2	329/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	399																	
55	55	162	162	0.0	0	0	Spanner	3/4	2	1	0														56							
55	55	162	162	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	400										56							
55	55	163	163	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	401																	
55	55	164	164	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	402										59							
56	56	165	165	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	403										60							
56	56	166	166	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	404																	
56	56	335/2	335/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	405										61							
56	56	165	165	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	406																	
56	56	166	166	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	407		articStaccatoAbove															
56	56	167	167	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	408		articStaccatoBelow															
57	57	168	168	0.0	0	0	Dynamic	3/4	1	1	0					p									61							
57	57	168	168	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	409										61							
57	57	675/4	675/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	410										61							
57	57	169	169	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	411										61							
57	57	170	170	0.0	1/2	1/2	Spanner	3/4	1	1	0														61					8		
57	57	170	170	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	412										61					8		
57	57	341/2	341/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	413										61					8		
57	57	168	168	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	414																	
57	57	169	169	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	415																	
57	57	170	170	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	416																	
58	58	171	171	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	417										61					8		
58	58	343/2	343/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	418										61					8		
58	58	172	172	0.0	1/4	1/4	Spanner	3/4	1	1	0														61							
58	58	172	172	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	419										61							
58	58	347/2	347/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	420																	
58	58	171	171	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	421																	
58	58	172	172	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	422																	
58	58	173	173	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	423																	
59	59	174	174	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	424										62							
59	59	349/2	349/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	425										62							
59	59	175	175	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	426																	
59	59	176	176	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	427										63							
59	59	353/2	353/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	428										63							
59	59	174	174	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	429										64							
59	59	175	175	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	430										64							
59	59	176	176	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	431										64							
60	60	177	177	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	432										63							
60	60	355/2	355/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	433																	
60	60	178	178	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	434		articStaccatoBelow															
60	60	179	179	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	435										65							
60	60	359/2	359/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	436										65							
60	60	177	177	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	437										64							
60	60	178	178	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	438										64							
60	60	179	179	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	439										64							
61	61	180	180	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	440		ornamentShortTrill															
61	61	723/4	723/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	441																	
61	61	181	181	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	442										66							
61	61	182	182	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	443										66							
61	61	365/2	365/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	444										66							
61	61	180	180	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	445										64							
61	61	181	181	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	446										64							
61	61	182	182	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	447										64							
62	62	183	183	0.0	0	0	Spanner	3/4	1	1	0														66					9		
62	62	183	183	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	448										66					9		
62	62	367/2	367/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	449										66					9		
62	62	184	184	0.0	1/4	1/4	Spanner	3/4	1	1	0														66							
62	62	184	184	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	450										66							
62	62	371/2	371/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	451																	
62	62	183	183	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	452										64							
62	62	184	184	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	453										64							
62	62	185	185	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	454										64							
63	63	186	186	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	455										67							
63	63	373/2	373/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	456										67							
63	63	187	187	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	457																	
63	63	188	188	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	458										68							
63	63	377/2	377/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	459																	
63	63	186	186	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	460																	
63	63	187	187	0.0	1/4	1/4	Spanner	3/4	2	1	0																				16	16
63	63	187	187	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	461																16	16
63	63	188	188	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	462										69						16	16
64	64	189	189	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	463										70							
64	64	190	190	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	464																	
64	64	189	189	0.0	0	0	Spanner	3/4	2	1	0																					
64	64	189	189	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	465																	
64	64	190	190	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	466																	
64	64	191	191	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	467																	
65	65	192	192	0.0	0	0	Dynamic	3/4	1	1	0					p																
65	65	192	192	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	468		articStaccatoAbove								71							
65	65	385/2	385/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	469		articStaccatoAbove								71							
65	65	193	193	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	470		articStaccatoAbove								71							
65	65	194	194	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	471		articStaccatoBelow															
65	65	192	192	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	472																	
65	65	193	193	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	473																	
65	65	194	194	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	474		articAccentAbove															
66	66	195	195	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	475																	
66	66	195	195	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	476																	
66	66	195	195	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	477		articAccentBelow								72							
66	66	195	195	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	478																	
66	66	196	196	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	479																	
66	66	197	197	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	480		articAccentAbove															
67	67	198	198	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	481		articStaccatoAbove															
67	67	795/4	795/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	482		articStaccatoAbove								73							
67	67	199	199	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	483		articStaccatoAbove								73							
67	67	200	200	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	484		articStaccatoBelow								73							
67	67	198	198	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	485																	
67	67	199	199	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	486																	
67	67	200	200	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	487		articAccentAbove															
